שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
גבעת חיים (איחוד),2018,GIV'AT HAYYIM (IHUD),4,41,411.0,16.0,141.0,1.0,1137.0,1137.0,1111.0,,1932,330,15.0,1938370064.0,20.0,409.0,15000060.0,2018,Giv'at Hayyim (Ihud),
גבעת חיים (מאוחד),173,GIV'AT HAYYIM(ME'UHAD),4,41,411.0,16.0,141.0,1.0,1006.0,1006.0,981.0,,1932,330,15.0,1937069975.0,16.0,409.0,15000060.0,2018,Giv'at Hayyim(Me'uhad),
גבעת יואב,4021,GIV'AT YO'AV,2,29,294.0,71.0,,1.0,703.0,702.0,678.0,1.0,1968,310,1.0,2641674503.0,294.0,219.0,10004579.0,2018,Giv'at Yo'av,211.0
גבעת יערים,787,GIV'AT YE'ARIM,1,11,111.0,26.0,444.0,1.0,1461.0,1460.0,1434.0,1.0,1950,310,1.0,2088063269.0,657.0,151.0,15000597.0,2018,Giv'at Ye'arim,
גבעת ישעיהו,919,GIV'AT YESHA'YAHU,1,11,112.0,26.0,444.0,1.0,828.0,828.0,816.0,,1958,310,6.0,1948961988.0,260.0,151.0,15000597.0,2018,Giv'at Yesha'yahu,
"גבעת כ""ח",802,GIV'AT KOAH,4,42,422.0,25.0,142.0,1.0,923.0,923.0,903.0,,1950,310,1.0,1940765983.0,60.0,424.0,10002168.0,2018,Giv'at Koah,
"גבעת ניל""י",360,GIV'AT NILI,3,32,323.0,45.0,,1.0,726.0,726.0,724.0,,1953,310,9.0,2041471707.0,111.0,351.0,10004233.0,2018,Giv'at Nili,
גבעת עוז,703,GIV'AT OZ,2,23,234.0,13.0,,1.0,474.0,473.0,449.0,1.0,1949,330,15.0,2189071785.0,100.0,254.0,10004249.0,2018,Giv'at Oz,213.0
גבעת שמואל,681,GIV'AT SHEMU'EL,4,42,422.0,0.0,132.0,1.0,26023.0,25991.0,25658.0,32.0,1942,160,,1860166490.0,21.0,427.0,10001516.0,2018,Giv'at Shemu'el,
גבעת שמש,566,GIV'AT SHEMESH,1,11,112.0,26.0,444.0,1.0,63.0,57.0,53.0,6.0,1954,340,,1955163138.0,237.0,151.0,15000597.0,2018,Giv'at Shemesh,
גבעת שפירא,1077,GIV'AT SHAPPIRA,4,41,411.0,16.0,141.0,1.0,408.0,408.0,406.0,,1958,310,10.0,1886069600.0,26.0,409.0,15000060.0,2018,Giv'at Shappira,
גבעתי,793,GIV'ATI,6,61,611.0,33.0,143.0,1.0,1022.0,1022.0,1007.0,,1950,310,1.0,1698062683.0,30.0,616.0,10001821.0,2018,Giv'ati,420.0
גבעתיים,6300,GIV'ATAYIM,5,52,512.0,0.0,122.0,1.0,60212.0,60179.0,58228.0,33.0,1922,150,,1822066430.0,3.0,503.0,10001533.0,2018,Giv'atayim,
גברעם,342,GEVAR'AM,6,61,614.0,36.0,,1.0,470.0,470.0,450.0,,1942,330,15.0,1632461117.0,75.0,633.0,10001829.0,2018,Gevar'am,
גבת,133,GEVAT,2,23,234.0,9.0,,1.0,935.0,935.0,922.0,,1926,330,15.0,2202173114.0,65.0,254.0,10004411.0,2018,Gevat,213.0
גדות,35,GADOT,2,21,213.0,1.0,,1.0,441.0,441.0,390.0,,1949,330,15.0,2582276940.0,97.0,253.0,10004540.0,2018,Gadot,211.0
גדיש,145,GADISH,2,23,234.0,8.0,,1.0,386.0,386.0,384.0,,1956,310,1.0,2232471829.0,64.0,204.0,10004394.0,2018,Gadish,213.0
גדעונה,442,GID'ONA,2,23,232.0,8.0,,1.0,458.0,458.0,451.0,,1949,350,,2339371720.0,-23.0,204.0,10004394.0,2018,Gid'ona,213.0
גדרה,2550,GEDERA,4,44,441.0,99.0,143.0,1.0,28092.0,27974.0,27403.0,118.0,1884,160,,1792663560.0,30.0,431.0,15002488.0,2018,Gedera,420.0
"גולן דרומי מ""א 71",1966,,2,29,294.0,71.0,,,,,,,,530,,2704074680.0,,,,2018,,211.0
"גולן צפוני מ""א 71",1962,,2,29,292.0,71.0,,,,,,,,530,,2709077860.0,,,,2018,,211.0
"גולן תיכון מ""א 71",1964,,2,29,293.0,71.0,,,,,,,,530,,2670076100.0,,,,2018,,211.0
גונן,852,GONEN,2,21,211.0,1.0,,1.0,370.0,370.0,358.0,,1951,330,15.0,2607478109.0,69.0,253.0,10004591.0,2018,Gonen,211.0
גורן,755,GOREN,2,24,244.0,52.0,,1.0,428.0,422.0,419.0,6.0,1950,310,1.0,2224377349.0,340.0,255.0,10004302.0,2018,Goren,212.0
גורנות הגליל,1219,GORNOT HAGALIL,2,24,244.0,52.0,,1.0,186.0,185.0,178.0,1.0,1980,350,,2236377386.0,340.0,255.0,10004302.0,2018,Gornot HaGalil,212.0
גזית,457,GAZIT,2,23,233.0,9.0,,1.0,725.0,725.0,691.0,,1948,330,15.0,2422172722.0,101.0,254.0,10004394.0,2018,Gazit,213.0
גזר,370,GEZER,4,43,432.0,30.0,143.0,1.0,286.0,284.0,277.0,2.0,1945,330,15.0,1925264268.0,111.0,426.0,10002228.0,2018,Gezer,
גיאה,706,GE'A,6,61,614.0,36.0,,1.0,970.0,970.0,947.0,,1949,310,1.0,1624261519.0,48.0,633.0,10001829.0,2018,Ge'a,
גיבתון,196,GIBBETON,4,44,441.0,28.0,143.0,1.0,363.0,363.0,360.0,,1933,350,,1811964406.0,37.0,456.0,10002241.0,2018,Gibbeton,420.0
גיזו,1043,GIZO,1,11,112.0,26.0,,1.0,204.0,204.0,202.0,,1968,350,,1943163471.0,181.0,151.0,15000597.0,2018,Gizo,
גילון,1204,GILON,2,24,242.0,56.0,241.0,1.0,1029.0,1029.0,1004.0,,1980,370,9.0,2224475646.0,204.0,205.0,10004465.0,2018,Gilon,210.0
גילת,736,GILAT,6,62,622.0,42.0,344.0,1.0,1437.0,1437.0,1433.0,,1949,310,1.0,1668758193.0,126.0,651.0,10001893.0,2018,Gilat,620.0
גינוסר,262,GINNOSAR,2,22,221.0,6.0,,1.0,593.0,590.0,568.0,3.0,1937,330,15.0,2493075035.0,-214.0,214.0,10004552.0,2018,Ginnosar,214.0
גיניגר,92,GINNEGAR,2,23,234.0,9.0,,1.0,707.0,690.0,665.0,17.0,1922,330,15.0,2244572993.0,79.0,254.0,10004411.0,2018,Ginnegar,213.0
גינתון,863,GINNATON,4,43,432.0,25.0,142.0,1.0,902.0,900.0,878.0,2.0,1949,310,1.0,1919965223.0,49.0,424.0,10002261.0,2018,Ginnaton,
גיתה,1206,GITTA,2,24,243.0,52.0,,1.0,286.0,286.0,247.0,,1980,370,13.0,2236176356.0,409.0,255.0,10004484.0,2018,Gitta,212.0
גיתית,3613,GITTIT,7,75,,75.0,,1.0,476.0,476.0,474.0,,1973,310,9.0,2375966764.0,252.0,712.0,10003262.0,2018,Gittit,
גלאון,393,GAL'ON,6,61,611.0,35.0,,1.0,549.0,549.0,526.0,,1946,330,15.0,1856261577.0,180.0,632.0,10001813.0,2018,Gal'on,420.0
גלגל,3606,GILGAL,7,75,,75.0,,1.0,178.0,162.0,150.0,16.0,1970,330,15.0,2424165627.0,-261.0,712.0,10003262.0,2018,Gilgal,
גליל ים,346,GELIL YAM,5,51,511.0,19.0,121.0,1.0,520.0,520.0,516.0,,1943,330,15.0,1842067381.0,34.0,401.0,10001605.0,2018,Gelil Yam,
"גליל עליון מז מ""א 1",1809,,2,21,212.0,1.0,,,,,,,,530,,2362077180.0,,,,2018,,211.0
"גליל עליון מז מ""א 2",1811,,2,21,212.0,2.0,,,,,,,,530,,2438076690.0,,,,2018,,211.0
"גליל עליון מז מ""א 55",1810,,2,21,212.0,55.0,,,,,,,,530,,2508077340.0,,,,2018,,211.0
"גליל עליון מז של""ש",1812,,2,21,212.0,,,,,,,,,530,,2385076890.0,,,,2018,,
"גליל תחתון מז מ""א 2",1820,,2,22,222.0,2.0,,,,,,,,530,,2419075400.0,,,,2018,,211.0
"גליל תחתון מז מ""א 3",1819,,2,22,222.0,3.0,,,,,,,,530,,2426074060.0,,,,2018,,214.0
"גליל תחתון מז מ""א 6",1821,,2,22,222.0,6.0,,,,,,,,530,,2484072760.0,,,,2018,,214.0
"גליל תחתון מז של""ש",1822,,2,22,222.0,,,,,,,,,530,,2416075000.0,,,,2018,,
גלעד (אבן יצחק),369,GAL'ED (EVEN YIZHAQ),2,23,236.0,13.0,,1.0,490.0,489.0,472.0,1.0,1945,330,15.0,2074471810.0,168.0,254.0,10004394.0,2018,Gal'ed (Even Yizhaq),213.0
"גמ""ל מחוז דרום",1997,,6,62,623.0,,,,,,,,,530,,,,,,2018,,
גמזו,745,GIMZO,4,43,431.0,25.0,142.0,1.0,1206.0,1206.0,1206.0,,1950,310,8.0,1945464834.0,86.0,424.0,10002261.0,2018,Gimzo,
גן הדרום,1072,GAN HADAROM,4,44,441.0,32.0,143.0,1.0,614.0,614.0,609.0,,1953,310,10.0,1717663473.0,35.0,456.0,10001821.0,2018,Gan HaDarom,
גן השומרון,225,GAN HASHOMERON,3,32,324.0,14.0,,1.0,840.0,839.0,831.0,1.0,1934,310,10.0,2000870764.0,38.0,351.0,10004261.0,2018,Gan HaShomeron,
גן חיים,239,GAN HAYYIM,4,42,421.0,20.0,141.0,1.0,834.0,831.0,821.0,3.0,1935,310,1.0,1912867798.0,49.0,417.0,10002133.0,2018,Gan Hayyim,
גן יאשיה,734,GAN YOSHIYYA,4,41,412.0,16.0,141.0,1.0,990.0,990.0,975.0,,1949,310,1.0,1996469519.0,27.0,409.0,15000060.0,2018,Gan Yoshiyya,
גן יבנה,166,GAN YAVNE,4,44,441.0,99.0,143.0,1.0,23752.0,23683.0,22931.0,69.0,1931,160,,1724863297.0,29.0,429.0,10001821.0,2018,Gan Yavne,
גן נר,1274,GAN NER,2,23,232.0,8.0,,1.0,2704.0,2699.0,2635.0,5.0,1987,190,,2319971531.0,117.0,204.0,10004394.0,2018,Gan Ner,213.0
גן שורק,311,GAN SOREQ,4,44,442.0,27.0,143.0,1.0,688.0,688.0,684.0,,1950,310,1.0,1775365029.0,29.0,456.0,15002488.0,2018,Gan Soreq,
גן שלמה,144,GAN SHELOMO,4,44,441.0,28.0,143.0,1.0,572.0,572.0,528.0,,1927,330,15.0,1810764287.0,37.0,456.0,15002488.0,2018,Gan Shelomo,420.0
גן שמואל,72,GAN SHEMU'EL,3,32,324.0,14.0,,1.0,929.0,928.0,909.0,1.0,1913,330,15.0,1955870649.0,16.0,351.0,10004261.0,2018,Gan Shemu'el,
גנות,836,GANNOT,4,43,432.0,40.0,133.0,1.0,589.0,589.0,586.0,,1953,310,10.0,1839465836.0,23.0,425.0,10002207.0,2018,Gannot,
גנות הדר,549,GANNOT HADAR,4,41,411.0,18.0,141.0,1.0,960.0,960.0,950.0,,1964,350,,1908469191.0,41.0,412.0,15000060.0,2018,Gannot Hadar,
גני הדר,1103,GANNE HADAR,4,43,432.0,30.0,143.0,1.0,321.0,321.0,319.0,,1958,350,,1862764289.0,80.0,426.0,10002241.0,2018,Ganne Hadar,
גני טל,1371,GANNE TAL,4,44,441.0,31.0,143.0,1.0,802.0,802.0,802.0,,2010,370,2.0,1803963293.0,71.0,456.0,15002488.0,2018,Ganne Tal,420.0
גני יוחנן,862,GANNE YOHANAN,4,44,441.0,30.0,143.0,1.0,629.0,629.0,623.0,,1950,310,1.0,1848064064.0,52.0,426.0,10002241.0,2018,Ganne Yohanan,
גני מודיעין,3823,GANNE MODI'IN,7,74,,73.0,,1.0,2488.0,2488.0,2484.0,,1996,190,,2017564847.0,179.0,711.0,10004054.0,2018,Ganne Modi'in,
גני עם,218,GANNE AM,4,42,421.0,20.0,142.0,1.0,242.0,242.0,240.0,,1934,350,,1908667313.0,29.0,417.0,10002133.0,2018,Ganne Am,
גני תקווה,229,GANNE TIQWA,4,42,422.0,99.0,132.0,1.0,19263.0,19252.0,19001.0,11.0,1953,170,,1883666301.0,60.0,428.0,10001516.0,2018,Ganne Tiqwa,
געש,842,GA'ASH,4,41,411.0,19.0,141.0,1.0,763.0,763.0,750.0,,1951,330,15.0,1836668178.0,28.0,401.0,15000060.0,2018,Ga'ash,
געתון,463,GA'TON,2,24,243.0,4.0,,1.0,693.0,691.0,679.0,2.0,1948,330,15.0,2204176793.0,305.0,201.0,10004302.0,2018,Ga'ton,212.0
גפן,39,GEFEN,1,11,112.0,26.0,,1.0,405.0,405.0,401.0,,1955,310,2.0,1885762761.0,140.0,151.0,15000597.0,2018,Gefen,
גרופית,1129,GEROFIT,6,62,625.0,53.0,,1.0,248.0,246.0,235.0,2.0,1963,330,15.0,2059542802.0,97.0,608.0,10001955.0,2018,Gerofit,
גשור,4022,GESHUR,2,29,294.0,71.0,,1.0,283.0,283.0,272.0,,1971,330,15.0,2674574724.0,331.0,219.0,10004579.0,2018,Geshur,211.0
גשר,305,GESHER,2,23,231.0,7.0,,1.0,421.0,419.0,400.0,2.0,1939,330,15.0,2519972518.0,-220.0,202.0,10004568.0,2018,Gesher,214.0
גשר הזיו,574,GESHER HAZIW,2,24,245.0,4.0,241.0,1.0,1644.0,1634.0,1594.0,10.0,1949,330,15.0,2108077155.0,-16.0,201.0,10004302.0,2018,Gesher HaZiw,212.0
גת (קיבוץ),340,GAT(QIBBUZ),6,61,611.0,35.0,,1.0,827.0,827.0,800.0,,1941,330,15.0,1805861511.0,131.0,632.0,10001813.0,2018,Gat(Qibbuz),420.0
גת רימון,128,GAT RIMMON,4,42,422.0,20.0,132.0,1.0,312.0,312.0,306.0,,1926,350,,1888366395.0,53.0,417.0,10002116.0,2018,Gat Rimmon,
דאלית אל-כרמל,494,DALIYAT AL-KARMEL,3,31,311.0,99.0,223.0,2.0,17427.0,45.0,33.0,17382.0,,270,,2050573325.0,289.0,356.0,10004171.0,2018,Daliyat Al-Karmel,
דבורה,146,DEVORA,2,23,234.0,8.0,,1.0,232.0,232.0,227.0,,1956,310,1.0,2250571762.0,66.0,204.0,10004394.0,2018,Devora,213.0
דבורייה,489,DABURIYYA,2,23,237.0,99.0,,2.0,10402.0,16.0,12.0,10386.0,,270,,2351373300.0,110.0,251.0,10004394.0,2018,Daburiyya,213.0
דבירה,849,DEVIRA,6,62,623.0,41.0,341.0,1.0,999.0,996.0,972.0,3.0,1951,330,15.0,1833659122.0,290.0,625.0,10001937.0,2018,Devira,620.0
דברת,407,DAVERAT,2,23,234.0,9.0,,1.0,439.0,437.0,412.0,2.0,1946,330,15.0,2330572809.0,156.0,254.0,10004394.0,2018,Daverat,213.0
דגניה א',62,DEGANYA ALEF,2,22,221.0,6.0,,1.0,538.0,537.0,535.0,1.0,1909,330,15.0,2541873489.0,-203.0,214.0,10004552.0,2018,Deganya Alef,214.0
דגניה ב',79,DEGANYA BET,2,22,221.0,6.0,,1.0,655.0,655.0,646.0,,1920,330,15.0,2542173403.0,-210.0,214.0,10004552.0,2018,Deganya Bet,214.0
"דוב""ב",1067,DOVEV,2,24,244.0,2.0,,1.0,487.0,487.0,484.0,,1963,310,1.0,2383977297.0,742.0,209.0,10004528.0,2018,Dovev,211.0
דולב,3747,DOLEV,7,74,,73.0,,1.0,1341.0,1341.0,1341.0,,1983,370,11.0,2127464816.0,456.0,711.0,10004054.0,2018,Dolev,
דור,738,DOR,3,32,321.0,15.0,243.0,1.0,433.0,433.0,427.0,,1949,310,1.0,1928472374.0,0.0,303.0,10004333.0,2018,Dor,
דורות,336,DOROT,6,61,614.0,37.0,,1.0,822.0,820.0,795.0,2.0,1941,330,15.0,1663560173.0,89.0,651.0,10001829.0,2018,Dorot,620.0
דחי,475,DAHI,2,23,234.0,66.0,,2.0,691.0,,,691.0,,450,,2325872519.0,366.0,251.0,10004394.0,2018,Dahi,213.0
דייר אל-אסד,490,DEIR AL-ASAD,2,24,242.0,99.0,,2.0,12348.0,5.0,5.0,12343.0,,270,,2254176009.0,264.0,260.0,15002358.0,2018,Deir Al-Asad,210.0
דייר חנא,492,DEIR HANNA,2,24,241.0,99.0,,2.0,10259.0,15.0,,10244.0,,270,,2348075200.0,90.0,262.0,10004513.0,2018,Deir Hanna,
דייר ראפאת,493,DEIR RAFAT,1,11,112.0,26.0,444.0,2.0,94.0,,,94.0,,440,,1950863156.0,240.0,151.0,15000597.0,2018,Deir Rafat,
דימונה,2200,DIMONA,6,62,626.0,0.0,,1.0,34135.0,33922.0,30733.0,213.0,1955,160,,2033055318.0,328.0,607.0,10001918.0,2018,Dimona,610.0
דישון,2063,DISHON,2,21,212.0,55.0,,1.0,351.0,350.0,344.0,1.0,1953,310,6.0,2488277637.0,338.0,253.0,10004591.0,2018,Dishon,211.0
דלייה,300,DALIYYA,2,23,236.0,13.0,,1.0,801.0,800.0,742.0,1.0,1939,330,15.0,2072972171.0,170.0,254.0,10004394.0,2018,Daliyya,213.0
דלתון,431,DALTON,2,21,212.0,2.0,,1.0,861.0,861.0,861.0,,1950,310,2.0,2460576912.0,702.0,209.0,10004528.0,2018,Dalton,211.0
דלתון,1709,,2,21,212.0,2.0,,,,,,,,520,,2451577021.0,821.0,209.0,10004528.0,2018,,211.0
דמיידה,1317,DEMEIDE,2,24,241.0,56.0,241.0,2.0,510.0,,,510.0,,450,,2216374673.0,150.0,205.0,10004513.0,2018,Demeide,210.0
דן,303,DAN,2,21,211.0,1.0,,1.0,732.0,731.0,711.0,1.0,1939,330,15.0,2612879396.0,160.0,253.0,10004591.0,2018,Dan,211.0
דפנה,302,DAFNA,2,21,211.0,1.0,,1.0,965.0,964.0,957.0,1.0,1939,330,15.0,2599179280.0,121.0,253.0,10004591.0,2018,Dafna,211.0
דקל,1241,DEQEL,6,62,622.0,38.0,,1.0,341.0,341.0,333.0,,1982,310,10.0,1377356740.0,90.0,651.0,10001893.0,2018,Deqel,620.0
"דרום השרון מ""א 18",1881,,4,42,421.0,18.0,,,,,,,,530,,,,,,2018,,
"דרום השרון מ""א 20",1882,,4,42,421.0,20.0,,,,,,,,530,,1899068100.0,,,,2018,,
"דרום השרון של""ש",1885,,4,42,421.0,,,,,,,,,530,,1960067130.0,,,,2018,,
דרום יהודה,1998,,7,77,,,,,,,,,,530,,,,,,2018,,
דריג'את,1349,DERIG'AT,6,62,623.0,69.0,,2.0,1199.0,1.0,,1198.0,,450,,2072057882.0,530.0,624.0,10001937.0,2018,Derig'at,610.0
האון,702,HAON,2,22,221.0,6.0,,1.0,181.0,181.0,166.0,,1949,330,15.0,2585973681.0,-210.0,214.0,10004552.0,2018,HaOn,214.0
הבונים,675,HABONIM,3,32,321.0,15.0,243.0,1.0,349.0,349.0,349.0,,1949,320,15.0,1939572700.0,9.0,303.0,10004333.0,2018,HaBonim,
הגושרים,356,HAGOSHERIM,2,21,211.0,1.0,,1.0,809.0,809.0,757.0,,1948,330,15.0,2585379177.0,89.0,253.0,10004591.0,2018,HaGosherim,211.0
הדר עם,191,HADAR AM,4,41,411.0,16.0,141.0,1.0,693.0,693.0,688.0,,1933,310,10.0,1908869507.0,18.0,409.0,15000060.0,2018,Hadar Am,
הוד השרון,9700,HOD HASHARON,4,42,421.0,0.0,131.0,1.0,62325.0,62286.0,60949.0,39.0,1924,150,,1901767323.0,10.0,423.0,10002133.0,2018,Hod HaSharon,
הודיות,1322,HODAYOT,2,22,222.0,3.0,,1.0,316.0,316.0,221.0,,1959,340,,2410774379.0,276.0,206.0,10004552.0,2018,Hodayot,214.0
הודייה,726,HODIYYA,6,61,614.0,36.0,,1.0,535.0,534.0,516.0,1.0,1949,310,1.0,1660062041.0,44.0,633.0,10001821.0,2018,Hodiyya,
הוואשלה (שבט),1169,HAWASHLA,6,62,623.0,,,3.0,,,,,,460,,2020055900.0,,699.0,10001918.0,2018,Al-Hawashila,
הוזייל (שבט),956,HUZAYYEL,6,62,623.0,,,3.0,,,,,,460,,1762059080.0,,699.0,10001946.0,2018,Al-Huzayyil,
הושעיה,1186,HOSHA'AYA,2,23,237.0,9.0,,1.0,2023.0,2023.0,2021.0,,1981,190,,2276174046.0,175.0,254.0,15002369.0,2018,Hosha'aya,213.0
הזורע,250,HAZOREA,2,23,235.0,13.0,,1.0,876.0,876.0,832.0,,1936,330,15.0,2114872773.0,49.0,254.0,10004394.0,2018,HaZorea,213.0
הזורעים,307,HAZORE'IM,2,22,222.0,3.0,,1.0,1035.0,1035.0,1035.0,,1939,310,2.0,2473873908.0,-71.0,206.0,10004552.0,2018,HaZore'im,214.0
החותרים,434,HAHOTERIM,3,32,321.0,15.0,223.0,1.0,809.0,809.0,791.0,,1948,330,15.0,1962573976.0,10.0,303.0,10004710.0,2018,HaHoterim,
היוגב,684,HAYOGEV,2,23,234.0,9.0,,1.0,715.0,715.0,709.0,,1949,310,1.0,2194972416.0,67.0,254.0,10004394.0,2018,HaYogev,213.0
הילה,1208,HILLA,2,24,243.0,52.0,,1.0,578.0,577.0,564.0,1.0,1980,370,19.0,2231777125.0,445.0,255.0,10004484.0,2018,Hilla,212.0
המעפיל,377,HAMA'PIL,4,41,412.0,16.0,141.0,1.0,855.0,855.0,846.0,,1945,330,15.0,1985969829.0,28.0,409.0,15000060.0,2018,HaMa'pil,
המרכז למחקר-נחל שורק,1751,,4,44,442.0,,143.0,,,,,,,520,,1718164583.0,20.0,,15002488.0,2018,,
הסוללים,677,HASOLELIM,2,23,237.0,9.0,242.0,1.0,927.0,924.0,909.0,3.0,1949,330,6.0,2225673956.0,136.0,254.0,10004426.0,2018,HaSolelim,213.0
העוגן,423,HAOGEN,4,41,411.0,16.0,141.0,1.0,908.0,908.0,884.0,,1947,330,15.0,1930669651.0,9.0,409.0,15000060.0,2018,HaOgen,
"הערבה מ""א 51",1944,,6,62,625.0,51.0,,,,,,,,530,,,,,,2018,,
"הערבה מ""א 53",1945,,6,62,625.0,53.0,,,,,,,,530,,2062043180.0,,,,2018,,
"הערבה מ""א 54",1946,,6,62,625.0,54.0,,,,,,,,530,,2159050670.0,,,,2018,,610.0
הר אדר,3769,HAR ADAR,7,74,,99.0,445.0,1.0,4056.0,4053.0,3965.0,3.0,1986,190,,2123263711.0,727.0,720.0,10002475.0,2018,Har Adar,
"הר אלכסנדר מ""א 14",1869,,3,32,323.0,14.0,,,,,,,,530,,2050071490.0,,,,2018,,
"הר אלכסנדר מ""א 45",1868,,3,32,323.0,45.0,,,,,,,,530,,2009071920.0,,,,2018,,
"הר אלכסנדר של""ש",1870,,3,32,323.0,,,,,,,,,530,,2105071460.0,,,,2018,,
הר גילה,3603,HAR GILLO,7,76,,76.0,445.0,1.0,1590.0,1568.0,1533.0,22.0,1972,370,19.0,2163962544.0,835.0,714.0,10002521.0,2018,Har Gillo,
"הר הנגב הדרומי מ""א 48",1953,,6,62,627.0,48.0,,,,,,,,530,,1851048010.0,,,,2018,,610.0
"הר הנגב הדרומי מ""א 53",1951,,6,62,627.0,53.0,,,,,,,,530,,1883044330.0,,,,2018,,
"הר הנגב הדרומי מ""א 54",1952,,6,62,627.0,54.0,,,,,,,,530,,2040048240.0,,,,2018,,610.0
"הר הנגב הצפוני מ""א 48",1948,,6,62,626.0,48.0,,,,,,,,530,,1728052230.0,,,,2018,,610.0
"הר הנגב הצפוני מ""א 51",1949,,6,62,626.0,51.0,,,,,,,,530,,2189054410.0,,,,2018,,
"הר הנגב הצפוני מ""א 53",1947,,6,62,626.0,53.0,,,,,,,,530,,1658047710.0,,,,2018,,
"הר הנגב הצפוני מ""א 54",1950,,6,62,626.0,54.0,,,,,,,,530,,2054052480.0,,,,2018,,610.0
הר עמשא,1261,HAR AMASA,6,62,623.0,51.0,,1.0,181.0,176.0,152.0,5.0,1983,330,,2097058352.0,808.0,656.0,10001937.0,2018,Har Amasa,
הראל,464,HAR'EL,1,11,112.0,26.0,444.0,1.0,269.0,269.0,260.0,,1948,330,15.0,1953163517.0,170.0,151.0,15000597.0,2018,Har'el,
הרדוף,1249,HARDUF,2,23,237.0,9.0,242.0,1.0,1106.0,1099.0,1035.0,7.0,1982,330,15.0,2165274100.0,170.0,254.0,10004497.0,2018,Harduf,213.0
"הרי יהודה מ""א 26",1801,,1,11,111.0,26.0,,,,,,,,530,,2067063030.0,,,,2018,,
"הרי יהודה של""ש",1802,,1,11,111.0,,,,,,,,,530,,,,,,2018,,
הרי נצרת-תירען,1823,,2,23,237.0,,,,,,,,,530,,2351073910.0,,,,2018,,
"הרי נצרת-תירען מ""א 9",1839,,2,23,237.0,9.0,,,,,,,,530,,2227073890.0,,,,2018,,213.0
הרצלייה,6400,HERZLIYYA,5,51,511.0,0.0,121.0,1.0,95142.0,94991.0,90497.0,151.0,1924,150,,1845367521.0,-6.0,504.0,10001605.0,2018,Herzliyya,
הררית,1203,HARARIT,2,24,241.0,56.0,,1.0,510.0,510.0,495.0,,1980,370,7.0,2346875012.0,400.0,205.0,10004513.0,2018,Hararit,210.0
השומרון,1999,,7,71,,,,,,,,,,530,,2235665137.0,,,,2018,,
ורד יריחו,3639,WERED YERIHO,7,75,,74.0,,1.0,317.0,317.0,312.0,,1980,310,10.0,2411063710.0,-220.0,713.0,10003314.0,2018,Wered Yeriho,
ורדון,1133,WARDON,6,61,611.0,35.0,,1.0,286.0,286.0,279.0,,1968,350,,1793961911.0,98.0,632.0,10001813.0,2018,Wardon,420.0
זבארגה (שבט),2742,ZABARGA,6,62,623.0,,,3.0,,,,,,460,,2032057170.0,435.0,699.0,15003711.0,2018,Az-Zabarika,
זבדיאל,815,ZAVDI'EL,6,61,611.0,34.0,,1.0,527.0,527.0,527.0,,1950,310,8.0,1773161858.0,78.0,631.0,10001813.0,2018,Zavdi'el,
זוהר,44,ZOHAR,6,61,612.0,50.0,,1.0,359.0,359.0,357.0,,1956,310,10.0,1708861156.0,109.0,634.0,10001813.0,2018,Zohar,
זיקים,584,ZIQIM,6,61,614.0,36.0,,1.0,809.0,793.0,757.0,16.0,1949,330,15.0,1546461319.0,15.0,633.0,10001829.0,2018,Ziqim,
זיתן,788,ZETAN,4,43,432.0,40.0,133.0,1.0,1081.0,1081.0,1078.0,,1950,310,1.0,1897765366.0,8.0,425.0,10002261.0,2018,Zetan,
זכרון יעקב,9300,ZIKHRON YA'AQOV,3,32,322.0,99.0,,1.0,23075.0,23025.0,22208.0,50.0,1882,160,,1957871961.0,7.0,353.0,10004333.0,2018,Zikhron Ya'aqov,
זכריה,799,ZEKHARYA,1,11,112.0,26.0,,1.0,1108.0,1108.0,1086.0,,1950,310,1.0,1948562415.0,230.0,151.0,15000597.0,2018,Zekharya,
זמר,1290,ZEMER,4,41,412.0,99.0,141.0,2.0,6940.0,7.0,,6933.0,,280,,2035169685.0,42.0,458.0,10002155.0,2018,Zemer,
זמרת,1065,ZIMRAT,6,62,621.0,39.0,,1.0,589.0,588.0,587.0,1.0,1957,310,2.0,1574959529.0,115.0,651.0,10001930.0,2018,Zimrat,620.0
זנוח,816,ZANOAH,1,11,112.0,26.0,444.0,1.0,506.0,492.0,484.0,14.0,1950,310,8.0,2000062667.0,259.0,151.0,15000597.0,2018,Zanoah,
זרועה,2064,ZERU'A,6,62,621.0,39.0,,1.0,433.0,432.0,430.0,1.0,1953,310,2.0,1642959642.0,121.0,651.0,10001930.0,2018,Zeru'a,620.0
זרזיר,975,ZARZIR,2,23,237.0,99.0,242.0,2.0,7942.0,22.0,14.0,7920.0,,280,,2211273668.0,137.0,254.0,10004411.0,2018,Zarzir,
זרחיה,818,ZERAHYA,6,61,611.0,34.0,,1.0,719.0,719.0,719.0,,1950,310,2.0,1759462110.0,66.0,631.0,10001821.0,2018,Zerahya,
